iter	Passed	Remaining
0	139	138877
1	139	69728
2	140	46660
3	140	35106
4	141	28171
5	142	23553
6	142	20250
7	143	17773
8	143	15849
9	144	14307
10	145	13047
11	145	11995
12	146	11106
13	146	10342
14	147	9682
15	148	9102
16	148	8592
17	149	8139
18	149	7733
19	150	7366
20	151	7042
21	151	6750
22	152	6493
23	156	6377
24	157	6150
25	158	5935
26	159	5735
27	159	5549
28	160	5379
29	161	5218
30	162	5068
31	162	4928
32	163	4795
33	164	4670
34	165	4551
35	165	4443
36	166	4338
37	167	4239
38	168	4161
39	169	4071
40	170	3985
41	171	3901
42	171	3822
43	172	3747
44	173	3676
45	173	3606
46	174	3539
47	175	3474
48	176	3415
49	176	3358
50	177	3303
51	178	3249
52	178	3198
53	179	3150
54	180	3103
55	181	3057
56	182	3012
57	182	2969
58	183	2934
59	184	2893
60	185	2853
61	186	2816
62	186	2779
63	187	2743
64	188	2709
65	189	2675
66	189	2643
67	190	2612
68	191	2581
69	192	2551
70	192	2522
71	193	2493
72	194	2470
73	196	2453
74	197	2430
75	197	2403
76	198	2383
77	199	2360
78	200	2337
79	201	2312
80	201	2287
81	202	2263
82	202	2237
83	203	2216
84	203	2195
85	204	2176
86	205	2156
87	206	2136
88	206	2115
89	207	2095
90	207	2075
91	208	2057
92	208	2037
93	209	2019
94	210	2001
95	210	1983
96	211	1965
97	211	1948
98	212	1931
99	212	1914
100	213	1903
101	214	1889
102	215	1873
103	215	1858
104	216	1843
105	216	1828
106	217	1814
107	217	1799
108	218	1785
109	218	1771
110	219	1757
111	219	1744
112	220	1730
113	221	1718
114	221	1705
115	222	1692
116	222	1680
117	223	1668
118	223	1656
119	224	1644
120	224	1632
121	225	1620
122	225	1609
123	226	1598
124	226	1587
125	227	1577
126	227	1565
127	228	1557
128	229	1549
129	229	1538
130	230	1528
131	231	1519
132	231	1509
133	232	1500
134	232	1490
135	233	1481
136	233	1472
137	234	1463
138	234	1454
139	235	1445
140	235	1436
141	236	1427
142	236	1419
143	237	1412
144	238	1404
145	238	1396
146	239	1388
147	239	1380
148	240	1372
149	240	1364
150	241	1357
151	241	1349
152	242	1341
153	242	1334
154	243	1329
155	244	1323
156	245	1316
157	245	1309
158	246	1302
159	246	1295
160	247	1288
161	247	1281
162	248	1275
163	248	1268
164	249	1262
165	249	1255
166	250	1249
167	251	1243
168	251	1237
169	252	1232
170	253	1228
171	253	1222
172	254	1216
173	254	1210
174	255	1204
175	256	1198
176	256	1193
177	257	1187
178	257	1181
179	258	1176
180	259	1174
181	260	1172
182	261	1168
183	262	1163
184	263	1159
185	263	1154
186	264	1149
187	264	1143
188	265	1138
189	265	1133
190	266	1128
191	266	1123
192	267	1118
193	268	1113
194	268	1108
195	269	1103
196	269	1099
197	270	1094
198	270	1089
199	271	1084
200	271	1080
201	272	1075
202	272	1070
203	273	1066
204	274	1065
205	275	1061
206	275	1056
207	276	1052
208	276	1048
209	277	1043
210	278	1039
211	278	1035
212	279	1031
213	279	1027
214	280	1023
215	280	1019
216	281	1014
217	281	1010
218	282	1006
219	282	1002
220	283	998
221	283	994
222	284	991
223	285	987
224	285	983
225	286	979
226	286	975
227	287	972
228	287	969
229	288	965
230	289	963
231	290	960
232	290	956
233	291	953
234	291	949
235	292	946
236	292	942
237	293	938
238	293	935
239	294	931
240	294	928
241	295	925
242	295	921
243	296	918
244	296	915
245	297	911
246	298	908
247	298	905
248	299	901
249	299	898
250	300	895
251	300	892
252	301	888
253	301	885
254	303	886
255	305	888
256	307	887
257	307	885
258	308	883
259	309	880
260	309	877
261	310	874
262	310	871
263	311	868
264	311	865
265	312	862
266	312	859
267	313	856
268	313	853
269	314	850
270	315	847
271	315	844
272	316	841
273	316	839
274	317	837
275	318	834
276	318	831
277	319	830
278	320	827
279	320	825
280	321	822
281	321	819
282	322	817
283	323	814
284	323	811
285	324	809
286	324	806
287	325	803
288	325	801
289	326	798
290	326	796
291	327	793
292	327	791
293	328	788
294	328	786
295	329	783
296	330	781
297	330	778
298	331	776
299	332	774
300	332	772
301	333	770
302	333	768
303	335	768
304	336	766
305	337	764
306	337	762
307	338	759
308	338	757
309	339	755
310	339	752
311	340	750
312	340	748
313	341	745
314	341	743
315	342	741
316	343	739
317	343	736
318	344	734
319	344	732
320	345	730
321	345	728
322	346	725
323	346	723
324	347	721
325	347	719
326	348	717
327	348	715
328	350	714
329	350	712
330	351	710
331	352	708
332	352	706
333	353	705
334	354	703
335	355	701
336	355	700
337	356	698
338	357	696
339	357	694
340	358	692
341	358	690
342	359	688
343	359	685
344	360	684
345	360	681
346	361	679
347	361	677
348	362	675
349	362	673
350	363	671
351	363	669
352	364	668
353	365	666
354	365	664
355	366	663
356	368	662
357	368	661
358	369	660
359	370	658
360	370	656
361	371	654
362	371	652
363	372	650
364	372	648
365	373	647
366	374	645
367	374	643
368	375	641
369	375	639
370	376	637
371	376	636
372	377	634
373	377	632
374	378	630
375	378	628
376	379	626
377	380	626
378	381	625
379	382	623
380	383	622
381	383	620
382	384	618
383	384	617
384	385	615
385	385	613
386	386	611
387	386	610
388	387	608
389	387	606
390	388	604
391	388	603
392	389	601
393	389	599
394	390	598
395	390	596
396	391	594
397	391	592
398	392	591
399	393	589
400	393	587
401	394	586
402	394	584
403	395	584
404	396	582
405	396	580
406	397	579
407	398	577
408	398	575
409	399	574
410	399	572
411	400	571
412	400	569
413	401	567
414	401	566
415	402	564
416	402	562
417	403	561
418	403	559
419	404	558
420	404	556
421	405	555
422	405	553
423	406	552
424	406	550
425	407	548
426	407	547
427	408	545
428	408	544
429	409	542
430	410	542
431	411	541
432	412	539
433	412	538
434	413	536
435	413	535
436	414	533
437	414	532
438	415	530
439	415	529
440	416	527
441	416	526
442	417	524
443	417	523
444	418	521
445	418	520
446	419	518
447	419	517
448	420	515
449	420	514
450	421	513
451	421	511
452	422	510
453	422	508
454	423	507
455	424	506
456	426	506
457	427	505
458	427	503
459	428	502
460	428	501
461	429	499
462	430	498
463	430	497
464	431	496
465	431	494
466	432	493
467	432	492
468	433	490
469	433	489
470	434	487
471	434	486
472	435	485
473	436	483
474	436	482
475	437	481
476	437	479
477	438	478
478	439	477
479	441	478
480	443	478
481	443	476
482	444	475
483	445	474
484	446	473
485	446	472
486	447	470
487	447	469
488	448	468
489	448	467
490	449	465
491	449	464
492	450	463
493	450	461
494	451	460
495	451	459
496	452	457
497	453	456
498	453	455
499	454	454
500	454	452
501	455	451
502	456	450
503	456	449
504	457	448
505	457	447
506	458	445
507	459	444
508	459	443
509	460	442
510	460	440
511	461	439
512	461	438
513	462	437
514	462	435
515	463	434
516	463	433
517	464	431
518	464	430
519	465	429
520	465	428
521	466	427
522	466	425
523	467	424
524	468	423
525	469	422
526	469	421
527	470	420
528	471	419
529	471	418
530	472	417
531	472	416
532	473	414
533	473	413
534	474	412
535	475	411
536	475	410
537	476	408
538	476	407
539	477	406
540	477	405
541	478	404
542	478	402
543	479	401
544	479	400
545	480	399
546	480	398
547	481	396
548	482	395
549	482	395
550	483	394
551	484	392
552	484	391
553	485	390
554	486	390
555	487	389
556	488	388
557	488	387
558	489	385
559	489	384
560	490	383
561	490	382
562	491	381
563	491	380
564	492	379
565	492	378
566	493	376
567	494	375
568	494	374
569	495	373
570	495	372
571	496	371
572	496	370
573	497	369
574	497	367
575	498	366
576	498	365
577	499	364
578	499	363
579	500	362
580	501	361
581	502	360
582	502	359
583	503	358
584	503	357
585	504	356
586	504	355
587	505	353
588	505	352
589	506	351
590	506	350
591	507	349
592	507	348
593	508	347
594	508	346
595	509	345
596	509	344
597	510	343
598	511	342
599	511	341
600	512	340
601	512	338
602	513	337
603	513	336
604	514	335
605	514	334
606	515	333
607	516	333
608	517	332
609	518	331
610	518	330
611	519	329
612	520	328
613	521	327
614	521	326
615	522	325
616	523	324
617	523	323
618	524	322
619	525	322
620	526	321
621	526	320
622	527	319
623	527	318
624	528	316
625	528	315
626	529	314
627	529	313
628	530	312
629	531	312
630	532	311
631	532	310
632	534	309
633	534	308
634	535	308
635	536	307
636	537	306
637	538	305
638	539	304
639	539	303
640	540	302
641	540	301
642	541	300
643	541	299
644	542	298
645	542	297
646	543	296
647	543	295
648	544	294
649	545	293
650	545	292
651	547	292
652	548	291
653	549	290
654	550	289
655	550	288
656	551	287
657	552	287
658	552	286
659	553	285
660	553	284
661	554	283
662	554	282
663	555	281
664	555	280
665	556	279
666	557	278
667	557	277
668	558	276
669	558	275
670	559	274
671	559	273
672	560	272
673	560	271
674	562	270
675	562	269
676	563	268
677	563	267
678	564	266
679	564	265
680	565	264
681	566	263
682	566	262
683	567	262
684	567	261
685	568	260
686	568	259
687	569	258
688	569	257
689	570	256
690	570	255
691	571	254
692	571	253
693	572	252
694	572	251
695	573	250
696	573	249
697	574	248
698	575	247
699	575	246
700	576	246
701	577	245
702	577	244
703	578	243
704	578	242
705	579	241
706	579	240
707	580	239
708	581	238
709	581	237
710	582	236
711	582	235
712	583	234
713	583	233
714	584	232
715	584	231
716	585	231
717	585	230
718	586	229
719	586	228
720	587	227
721	587	226
722	588	225
723	588	224
724	589	223
725	590	222
726	592	222
727	593	221
728	593	220
729	594	219
730	594	218
731	595	217
732	595	217
733	596	216
734	596	215
735	597	214
736	597	213
737	598	212
738	598	211
739	599	210
740	600	209
741	600	208
742	601	207
743	601	207
744	602	206
745	602	205
746	603	204
747	603	203
748	604	202
749	604	201
750	605	200
751	606	200
752	607	199
753	607	198
754	608	197
755	608	196
756	609	195
757	609	194
758	610	193
759	610	192
760	611	191
761	611	191
762	612	190
763	612	189
764	613	188
765	613	187
766	614	186
767	614	185
768	615	184
769	616	184
770	616	183
771	617	182
772	617	181
773	618	180
774	618	179
775	619	178
776	620	177
777	620	177
778	621	176
779	622	175
780	622	174
781	623	173
782	623	172
783	624	171
784	624	171
785	625	170
786	625	169
787	626	168
788	626	167
789	627	166
790	627	165
791	628	165
792	629	164
793	629	163
794	630	162
795	630	161
796	631	160
797	631	159
798	632	159
799	633	158
800	633	157
801	634	156
802	634	155
803	635	154
804	635	154
805	637	153
806	637	152
807	638	151
808	639	150
809	639	150
810	640	149
811	641	148
812	641	147
813	642	146
814	643	145
815	643	145
816	644	144
817	644	143
818	645	142
819	646	141
820	646	140
821	647	140
822	647	139
823	648	138
824	648	137
825	649	136
826	650	135
827	650	135
828	651	134
829	652	133
830	652	132
831	653	131
832	654	131
833	654	130
834	655	129
835	656	128
836	656	127
837	657	127
838	657	126
839	658	125
840	658	124
841	659	123
842	660	122
843	660	122
844	661	121
845	661	120
846	662	119
847	662	118
848	663	117
849	663	117
850	664	116
851	664	115
852	665	114
853	665	113
854	667	113
855	668	112
856	669	111
857	670	110
858	670	110
859	671	109
860	671	108
861	672	107
862	673	106
863	673	106
864	674	105
865	674	104
866	675	103
867	675	102
868	676	101
869	676	101
870	677	100
871	677	99
872	678	98
873	678	97
874	679	97
875	679	96
876	680	95
877	681	94
878	682	93
879	682	93
880	683	92
881	684	91
882	684	90
883	685	89
884	685	89
885	686	88
886	686	87
887	687	86
888	687	85
889	688	85
890	688	84
891	689	83
892	689	82
893	690	81
894	690	81
895	691	80
896	692	79
897	692	78
898	693	77
899	693	77
900	694	76
901	694	75
902	695	74
903	695	73
904	697	73
905	698	72
906	698	71
907	699	70
908	700	70
909	700	69
910	701	68
911	701	67
912	702	66
913	702	66
